kod_stacji,nazwa,lon,lat,kategoria,zrodlo,wysokosc_npm,rok_zalozenia
249190290,LIPOWA,19.076667,49.666111,IMGW - brak bieżących danych,IMGW-PIB,530,1969
249190310,PEWEL MAŁA,19.305833,49.660833,IMGW - brak bieżących danych,IMGW-PIB,425,1970
249190340,KOSZARAWA,19.404444,49.655833,IMGW - brak bieżących danych,IMGW-PIB,595,
249190380,KAMESZNICA,19.064444,49.57,IMGW - brak bieżących danych,IMGW-PIB,470,1948
249190420,ŻABNICA,19.1875,49.560833,IMGW - brak bieżących danych,IMGW-PIB,585,1946
249190470,RABA WYŻNA,19.884167,49.566667,IMGW - brak bieżących danych,IMGW-PIB,535,1951
249190540,RAJCZA,19.105278,49.506111,IMGW - brak bieżących danych,IMGW-PIB,495,1947
249190580,RYCERKA GÓRNA,19.008333,49.426389,IMGW - brak bieżących danych,IMGW-PIB,,
249190610,RATUŁÓW,19.883611,49.391667,IMGW - brak bieżących danych,IMGW-PIB,679,1990
249190630,WITÓW,19.825,49.3275,IMGW - brak bieżących danych,IMGW-PIB,822,1995
249190660,KOŚCIELISKO-KIRY,19.865833,49.278611,IMGW - brak bieżących danych,IMGW-PIB,919,1945
249190750,SOBLÓWKA,19.148333,49.4375,IMGW - brak bieżących danych,IMGW-PIB,702,2002
249190920,LIPNICA WIELKA,19.545278,49.537778,IMGW - brak bieżących danych,IMGW-PIB,819,2013
249190980,SUCHA BESKIDZKA,19.605833,49.753889,IMGW - posterunek opadowy,IMGW-PIB,324,2023
249200080,ŁAPANÓW,20.283611,49.875278,IMGW - brak bieżących danych,IMGW-PIB,265,1951
249200290,OCHOTNICA GÓRNA,20.244722,49.510278,IMGW - brak bieżących danych,IMGW-PIB,617,
249200310,KOWANIEC,20.046944,49.490833,IMGW - brak bieżących danych,IMGW-PIB,623,1946
249200380,SZAFLARY,20.030833,49.424722,IMGW - brak bieżących danych,IMGW-PIB,643,1947
249200540,HALA GĄSIENICOWA,20.005833,49.243889,IMGW - brak bieżących danych,IMGW-PIB,1523,
249200570,TRZEMEŚNIA,20.012778,49.8125,IMGW - brak bieżących danych,IMGW-PIB,347,1948
249210130,ZBOISKA,21.695833,49.5775,IMGW - brak bieżących danych,IMGW-PIB,320,1986
249210180,KREMPNA,21.489444,49.515833,IMGW - brak bieżących danych,IMGW-PIB,380,1948
249210280,KUNKOWA,21.124722,49.55,IMGW - posterunek opadowy,IMGW-PIB,413,1991
249220130,BRZEGI DOLNE,22.621111,49.443333,IMGW - brak bieżących danych,IMGW-PIB,438,1992
249220160,TELEŚNICA OSZWAROWA,22.531111,49.380278,IMGW - brak bieżących danych,IMGW-PIB,449,1955
249220210,TERKA,22.426944,49.297222,IMGW - brak bieżących danych,IMGW-PIB,446,
249220330,TARNAWA NIŻNA,22.791389,49.124722,IMGW - brak bieżących danych,IMGW-PIB,708,2005
249220360,BUKOWIEC,22.413611,49.305833,IMGW - stacja klimatologiczna,IMGW-PIB,435,2019
250150090,ŚWIERADÓW-ZDRÓJ,15.358611,50.898333,IMGW - brak bieżących danych,IMGW-PIB,510,
250160270,WALIM,16.439167,50.702778,IMGW - brak bieżących danych,IMGW-PIB,489,
250160350,SREBRNA GÓRA,16.664722,50.577222,IMGW - brak bieżących danych,IMGW-PIB,405,
250160530,ZIELENIEC,16.394167,50.33,IMGW - brak bieżących danych,IMGW-PIB,840,
250160610,BOLESŁAWÓW,16.890833,50.254722,IMGW - stacja klimatologiczna,IMGW-PIB,602,1973
250160630,MIĘDZYGÓRZE,16.773611,50.218611,IMGW - posterunek opadowy,IMGW-PIB,795,1948
250170250,OTMUCHÓW,17.166389,50.472222,IMGW - brak bieżących danych,IMGW-PIB,212,
250180250,BRYNICA,18.998889,50.471667,IMGW - brak bieżących danych,IMGW-PIB,283,1946
250180650,PŁAWNIOWICE,18.482222,50.376389,IMGW - posterunek opadowy,IMGW-PIB,218,2023
250190150,BONOWICE,19.793611,50.621111,IMGW - brak bieżących danych,IMGW-PIB,260,1989
250190160,LGOTA GÓRNA,19.235278,50.600833,IMGW - brak bieżących danych,IMGW-PIB,320,1972
250190180,PIWOŃ,19.251111,50.483056,IMGW - brak bieżących danych,IMGW-PIB,295,1946
250190290,OLEWIN,19.603611,50.276944,IMGW - brak bieżących danych,IMGW-PIB,398,
250190840,ROKITNO SZLACHECKIE,19.431111,50.435278,IMGW - posterunek opadowy,IMGW-PIB,343,2023
250210120,KLIMONTÓW,21.450278,50.653333,IMGW - brak bieżących danych,IMGW-PIB,203,
250210280,WOLA RANIŻOWSKA,21.992222,50.301111,IMGW - posterunek opadowy,IMGW-PIB,195,2023
250210330,KLIMONTÓW,21.463611,50.6525,IMGW - posterunek opadowy,IMGW-PIB,210,2024
250220210,JAROSŁAW,22.696389,50.018333,IMGW - brak bieżących danych,IMGW-PIB,181,
251140060,SOBOLICE,14.975,51.388333,IMGW - brak bieżących danych,IMGW-PIB,150,
251150030,NOWOGRÓD BOBRZAŃSKI,15.253056,51.799444,IMGW - posterunek opadowy,IMGW-PIB,102,1948
251150180,TOMASZÓW BOLESŁAWIECKI,15.6775,51.276389,IMGW - brak bieżących danych,IMGW-PIB,186,
251150390,ZŁOTNIKI LUBAŃSKIE,15.340556,51.013889,IMGW - brak bieżących danych,IMGW-PIB,360,
251150410,ŚWIERZAWA,15.888889,51.016944,IMGW - brak bieżących danych,IMGW-PIB,260,
251160420,PYSZĄCA,16.679722,51.256389,IMGW - brak bieżących danych,IMGW-PIB,110,2023
251170030,WITASZYCE,17.553333,51.945556,IMGW - brak bieżących danych,IMGW-PIB,130,
251170430,OSTRZESZÓW II,17.915556,51.434444,IMGW - posterunek opadowy,IMGW-PIB,186,2020
251180090,SIERADZ,18.687222,51.593056,IMGW - brak bieżących danych,IMGW-PIB,140,
252140150,MASZEWO,14.918889,52.069722,IMGW - posterunek opadowy,IMGW-PIB,68,1955
252140160,TRZCIŃSKO-ZDRÓJ,14.588056,52.964444,IMGW - brak bieżących danych,IMGW-PIB,53,
252150070,DREZDENKO,15.841111,52.854722,IMGW - brak bieżących danych,IMGW-PIB,31,1949
252170110,GNIEZNO,17.531944,52.5575,IMGW - brak bieżących danych,IMGW-PIB,170,
252180060,PAKOŚĆ,18.0925,52.799444,IMGW - brak bieżących danych,IMGW-PIB,76,1946
252180310,RADOSZEWICE,18.706111,52.361944,IMGW - brak bieżących danych,IMGW-PIB,110,
252230040,NAREW,23.519167,52.914722,IMGW - brak bieżących danych,IMGW-PIB,139,
252230060,NAREWKA,23.728056,52.871667,IMGW - brak bieżących danych,IMGW-PIB,143,
252230080,NOWE MASIEWO,23.897222,52.833889,IMGW - brak bieżących danych,IMGW-PIB,150,
252230110,HAJNÓWKA,23.560278,52.7325,IMGW - brak bieżących danych,IMGW-PIB,163,1948
253150020,WITNO,15.063056,53.944444,IMGW - brak bieżących danych,IMGW-PIB,20,1954
253160040,GRZMIĄCA,16.439167,53.835833,IMGW - brak bieżących danych,IMGW-PIB,100,1960
253160260,WICEWO,16.123611,53.8875,IMGW - posterunek opadowy,IMGW-PIB,47,2023
253170030,RÓŻKI-DĘBIE,17.148056,53.891111,IMGW - brak bieżących danych,IMGW-PIB,155,1956
253170330,SITOWIEC,17.754167,53.368889,IMGW - stacja klimatologiczna,IMGW-PIB,134,2023
253180170,NOWY JASINIEC,18.037222,53.348333,IMGW - brak bieżących danych,IMGW-PIB,90,1956
253190260,OSTROWITE,19.274167,53.42,IMGW - brak bieżących danych,IMGW-PIB,101,1946
253210130,SZCZYTNO,21.012222,53.576944,IMGW - brak bieżących danych,IMGW-PIB,160,
253210180,PTAKI,21.794722,53.390556,IMGW - brak bieżących danych,IMGW-PIB,112,
